English	Lithuanian
Cactus	Kaktusiniai
Cadmium	Kadmis
Caelum	Skaptukas (astronomija)
Caesium	Cezis
Caffeine	Kofeinas
Cairo	Kairas
Cake	Tortas
Calabria	Kalabrija
Calcite	Kalcitas
Calcium	Kalcis
Calcium oxide	Kalcio oksidas
Caldera	Kaldera
Calendar	Kalendorius
Caliber	Kalibras
California	Kalifornija
Californium	Kalifornis
Caligula	Kaligula
Calligraphy	Kaligrafija
Calliope	Kaliopė
Callisto (moon)	Kalista (palydovas)
Callisto (mythology)	Kalista
Calorie	Kalorija
Calvados	Kalvadosas (departamentas)
Calvary	Kalvarijos kalnas
Calvin Coolidge	Calvin Coolidge
Calvinism	Kalvinizmas
Calypso (mythology)	Kalipsė
Cambodia	Kambodža
Cambodia	Kategorija:Kambodža
Cambrian	Kambras
Cambridge	Kembridžas
Cameroon	Kamerūnas
Cameroon	Kategorija:Kamerūnas
Campania	Kampanija
Canada	Kanada
Canada	Kategorija:Kanada
Canary Islands	Kanarų salos
Canberra	Kanbera
